date,value,difference
01-01-1994,1050,
01-02-1994,990,-5.71%
01-03-1994,970,-2.02%
01-04-1994,940,-3.09%
01-05-1994,870,-7.45%
01-06-1994,880,1.15%
01-07-1994,950,7.95%
01-08-1994,1040,9.47%
01-09-1994,1080,3.85%
01-10-1994,1070,-0.93%
01-11-1994,1000,-6.54%
01-12-1994,850,-15.00%
01-01-1995,820,-3.53%
01-02-1995,780,-4.88%
01-03-1995,700,-10.26%
01-04-1995,650,-7.14%
01-05-1995,680,4.62%
01-06-1995,780,14.71%
01-07-1995,950,21.79%
01-08-1995,1100,15.79%
01-09-1995,1020,-7.27%
01-10-1995,1020,0.00%
01-11-1995,880,-13.73%
01-12-1995,850,-3.41%
01-01-1996,930,9.41%
01-02-1996,880,-5.38%
01-03-1996,780,-11.36%
01-04-1996,700,-10.26%
01-05-1996,760,8.57%
01-06-1996,850,11.84%
01-07-1996,1000,17.65%
01-08-1996,1080,8.00%
01-09-1996,1200,11.11%
01-10-1996,1050,-12.50%
01-11-1996,950,-9.52%
01-12-1996,870,-8.42%
01-01-1997,800,-8.05%
01-02-1997,920,15.00%
01-03-1997,850,-7.61%
01-04-1997,980,15.29%
01-05-1997,1100,12.24%
01-06-1997,1140,3.64%
01-07-1997,1180,3.51%
01-08-1997,1220,3.39%
01-09-1997,1180,-3.28%
01-10-1997,1130,-4.24%
01-11-1997,1050,-7.08%
01-12-1997,1150,9.52%
01-01-1998,1130,-1.74%
01-02-1998,1180,4.42%
01-03-1998,1200,1.69%
01-04-1998,1120,-6.67%
01-05-1998,1020,-8.93%
01-06-1998,1050,2.94%
01-07-1998,1100,4.76%
01-08-1998,1025,-6.82%
01-09-1998,800,-21.95%
01-10-1998,680,-15.00%
01-11-1998,640,-5.88%
01-12-1998,660,3.13%
01-01-1999,800,21.21%
01-02-1999,850,6.25%
01-03-1999,900,5.88%
01-04-1999,800,-11.11%
01-05-1999,700,-12.50%
01-06-1999,650,-7.14%
01-07-1999,570,-12.31%
01-08-1999,600,5.26%
01-09-1999,500,-16.67%
01-10-1999,450,-10.00%
01-11-1999,380,-15.56%
01-12-1999,500,31.58%
01-01-2000,625,25.00%
01-02-2000,675,8.00%
01-03-2000,680,0.74%
01-04-2000,615,-9.56%
01-05-2000,425,-30.89%
01-06-2000,425,0.00%
01-07-2000,415,-2.35%
01-08-2000,400,-3.61%
01-09-2000,400,0.00%
01-10-2000,435,8.75%
01-11-2000,380,-12.64%
01-12-2000,390,2.63%
01-01-2001,550,41.03%
01-02-2001,725,31.82%
01-03-2001,900,24.14%
01-04-2001,940,4.44%
01-05-2001,890,-5.32%
01-06-2001,750,-15.73%
01-07-2001,725,-3.33%
01-08-2001,750,3.45%
01-09-2001,790,5.33%
01-10-2001,760,-3.80%
01-11-2001,760,0.00%
01-12-2001,720,-5.26%
01-01-2002,740,2.78%
01-02-2002,730,-1.35%
01-03-2002,700,-4.11%
01-04-2002,730,4.29%
01-05-2002,670,-8.22%
01-06-2002,700,4.48%
01-07-2002,750,7.14%
01-08-2002,790,5.33%
01-09-2002,770,-2.53%
