year,country,flow,intra_extra_EU,value_eur,volume_kg
2019,Austria,Export,Extra EU,365847.0,69170.0
2019,Austria,Export,Intra EU,4554599.0,942431.0
2019,Austria,Import,Extra EU,3902195.0,1041383.0
2019,Austria,Import,Intra EU,51479491.0,8768639.0
2019,Belgium,Export,Extra EU,441306.0,79711.0
2019,Belgium,Export,Intra EU,13850840.0,3080200.0
2019,Belgium,Import,Extra EU,23994249.0,5965639.0
2019,Belgium,Import,Intra EU,56825854.0,11359179.0
2019,Bulgaria,Export,Extra EU,495984.0,141209.0
2019,Bulgaria,Export,Intra EU,1401369.0,276491.0
2019,Bulgaria,Import,Extra EU,1124784.0,374548.0
2019,Bulgaria,Import,Intra EU,2709254.0,585504.0
2019,Croatia,Export,Extra EU,2073364.0,234404.0
2019,Croatia,Export,Intra EU,880090.0,129039.0
2019,Croatia,Import,Extra EU,2569245.0,684479.0
2019,Croatia,Import,Intra EU,17240751.0,3163732.0
2019,Cyprus,Import,Extra EU,5250389.0,1202471.0
2019,Cyprus,Import,Intra EU,2859087.0,545939.0
2019,Czechia,Export,Extra EU,10171.0,1744.0
2019,Czechia,Export,Intra EU,8334296.0,1435714.0
2019,Czechia,Import,Extra EU,11503827.0,2769333.0
2019,Czechia,Import,Intra EU,28638195.0,5298442.0
2019,Denmark,Export,Extra EU,391098.0,76945.0
2019,Denmark,Export,Intra EU,995697.0,210529.0
2019,Denmark,Import,Extra EU,19837890.0,4702734.0
2019,Denmark,Import,Intra EU,10433286.0,2345626.0
2019,Estonia,Export,Extra EU,654.0,83.0
2019,Estonia,Export,Intra EU,20137.0,3692.0
2019,Estonia,Import,Extra EU,528830.0,138332.0
2019,Estonia,Import,Intra EU,1085469.0,243804.0
2019,Finland,Export,Intra EU,156173.0,26267.0
2019,Finland,Import,Extra EU,25146179.0,6072447.0
2019,Finland,Import,Intra EU,13612396.0,2538762.0
2019,France,Export,Extra EU,2362057.0,526959.0
2019,France,Export,Intra EU,13362696.0,2480396.0
2019,France,Import,Extra EU,271510116.0,59359169.0
2019,France,Import,Intra EU,191330299.0,36568295.0
2019,Germany,Export,Extra EU,1107447.0,127552.0
2019,Germany,Export,Intra EU,58415835.0,14236797.0
2019,Germany,Import,Extra EU,203382495.0,55356104.0
2019,Germany,Import,Intra EU,117835914.0,24221978.0
2019,Greece,Export,Extra EU,554765.0,89561.0
2019,Greece,Export,Intra EU,1704437.0,292682.0
2019,Greece,Import,Extra EU,14929303.0,3202639.0
2019,Greece,Import,Intra EU,24270535.0,3992487.0
2019,Hungary,Export,Extra EU,3369.0,446.0
2019,Hungary,Export,Intra EU,107209.0,16953.0
2019,Hungary,Import,Extra EU,429462.0,118874.0
2019,Hungary,Import,Intra EU,15442115.0,2753227.0
2019,Ireland,Export,Extra EU,126.0,23.0
2019,Ireland,Export,Intra EU,1227748.0,204352.0
2019,Ireland,Import,Extra EU,3897740.0,1055293.0
2019,Ireland,Import,Intra EU,17987796.0,3063492.0
2019,Italy,Export,Extra EU,50558289.0,7124242.0
2019,Italy,Export,Intra EU,127754586.0,18899789.0
2019,Italy,Import,Extra EU,411711102.0,74876954.0
2019,Italy,Import,Intra EU,247664274.0,43237699.0
2019,Latvia,Export,Extra EU,355194.0,58538.0
2019,Latvia,Export,Intra EU,3015068.0,471872.0
2019,Latvia,Import,Extra EU,1132860.0,211222.0
2019,Latvia,Import,Intra EU,1459602.0,246688.0
2019,Lithuania,Export,Extra EU,9367.0,2524.0
2019,Lithuania,Export,Intra EU,381492.0,107455.0
2019,Lithuania,Import,Extra EU,884499.0,236688.0
2019,Lithuania,Import,Intra EU,3705227.0,742107.0
2019,Luxembourg,Export,Extra EU,131.0,13.0
2019,Luxembourg,Export,Intra EU,90267.0,25463.0
2019,Luxembourg,Import,Intra EU,5855445.0,733496.0
2019,Malta,Export,Extra EU,12764.0,3325.0
2019,Malta,Import,Extra EU,6991521.0,1750196.0
2019,Malta,Import,Intra EU,5012121.0,693016.0
2019,Netherlands,Export,Extra EU,3590881.0,772665.0
2019,Netherlands,Export,Intra EU,265812625.0,55776706.0
2019,Netherlands,Import,Extra EU,254865521.0,62955438.0
2019,Netherlands,Import,Intra EU,50328537.0,9856189.0
2019,Poland,Export,Extra EU,107510.0,20895.0
2019,Poland,Export,Intra EU,2872462.0,531963.0
2019,Poland,Import,Extra EU,22228426.0,5895222.0
2019,Poland,Import,Intra EU,21206202.0,4287933.0
2019,Portugal,Export,Extra EU,10329708.0,1971957.0
2019,Portugal,Export,Intra EU,68027607.0,11156422.0
2019,Portugal,Import,Extra EU,35591805.0,8616062.0
2019,Portugal,Import,Intra EU,64024086.0,12140153.0
2019,Romania,Export,Extra EU,89919.0,14366.0
2019,Romania,Export,Intra EU,95548.0,17807.0
2019,Romania,Import,Extra EU,5532029.0,1447829.0
2019,Romania,Import,Intra EU,21654474.0,3955199.0
2019,Slovakia,Export,Intra EU,1338000.0,210210.0
2019,Slovakia,Import,Extra EU,1752487.0,438524.0
2019,Slovakia,Import,Intra EU,13325794.0,2606287.0
2019,Slovenia,Export,Extra EU,237400.0,39267.0
2019,Slovenia,Export,Intra EU,823162.0,104595.0
2019,Slovenia,Import,Extra EU,388852.0,107985.0
2019,Slovenia,Import,Intra EU,17762499.0,2905811.0
2019,Spain,Export,Extra EU,57652105.0,11218744.0
2019,Spain,Export,Intra EU,482718317.0,89247342.0
2019,Spain,Import,Extra EU,618448510.0,149499451.0
2019,Spain,Import,Intra EU,17845297.0,5117604.0
2019,Sweden,Export,Extra EU,1397.0,172.0
2019,Sweden,Export,Intra EU,448491.0,69651.0
2019,Sweden,Import,Extra EU,21487783.0,5059005.0
2019,Sweden,Import,Intra EU,9383256.0,1890839.0
2019,United Kingdom,Export,Extra EU,365407.0,71032.0
2019,United Kingdom,Export,Intra EU,18206244.0,3000369.0
2019,United Kingdom,Import,Extra EU,341598904.0,79406964.0
2019,United Kingdom,Import,Intra EU,110727214.0,23349038.0
2020,Austria,Export,Extra EU,864143.0,134041.0
2020,Austria,Export,Intra EU,4287689.0,926713.0
2020,Austria,Import,Extra EU,2336079.0,696731.0
2020,Austria,Import,Intra EU,49381125.0,8651292.0
2020,Belgium,Export,Extra EU,1479354.0,298801.0
2020,Belgium,Export,Intra EU,14278439.0,2913581.0
2020,Belgium,Import,Extra EU,25151441.0,6530893.0
2020,Belgium,Import,Intra EU,61126297.0,11995991.0
2020,Bulgaria,Export,Extra EU,241153.0,67941.0
2020,Bulgaria,Export,Intra EU,1102820.0,225188.0
2020,Bulgaria,Import,Extra EU,2255306.0,760823.0
2020,Bulgaria,Import,Intra EU,3512582.0,923650.0
2020,Croatia,Export,Extra EU,1573582.0,212033.0
2020,Croatia,Export,Intra EU,691559.0,83684.0
2020,Croatia,Import,Extra EU,1810870.0,555734.0
2020,Croatia,Import,Intra EU,17303731.0,3133738.0
2020,Cyprus,Export,Intra EU,7200.0,768.0
2020,Cyprus,Import,Extra EU,5389118.0,1255758.0
2020,Cyprus,Import,Intra EU,2096301.0,474929.0
2020,Czechia,Export,Extra EU,25104.0,5513.0
2020,Czechia,Export,Intra EU,9056944.0,1472904.0
2020,Czechia,Import,Extra EU,7269924.0,2108092.0
2020,Czechia,Import,Intra EU,31808194.0,6104839.0
2020,Denmark,Export,Extra EU,452665.0,95009.0
2020,Denmark,Export,Intra EU,890811.0,180519.0
